Date,HomeTeam,AwayTeam,HS,AS,HST,AST,FTHG,FTAG,WRH,WRA,PH,PA,FTR
08/03/15,Cesena,Palermo,3,7,2,1,0,0,15,30,-1,-1,D
08/03/15,Chievo,Roma,11,11,2,3,0,0,23,50,1,1,D
08/03/15,Empoli,Genoa,6,15,2,2,1,1,19,36,2,2,D
08/03/15,Napoli,Inter,17,13,7,5,2,2,48,34,0,2,D
08/03/15,Parma,Atalanta,14,8,4,2,0,0,12,19,-3,-4,D
08/03/15,Udinese,Torino,12,14,3,7,3,2,32,34,-2,1,H
09/03/15,Juventus,Sassuolo,16,2,4,1,1,0,69,23,3,-4,H
09/03/15,Lazio,Fiorentina,16,6,13,0,4,0,53,42,3,2,H
14/03/15,Cagliari,Empoli,16,13,5,2,1,1,14,18,-3,1,D
14/03/15,Palermo,Juventus,7,12,0,3,0,1,29,70,-1,3,A
15/03/15,Atalanta,Udinese,19,8,5,0,0,0,18,30,-3,-2,D
15/03/15,Genoa,Chievo,19,15,3,6,0,2,34,25,1,1,A
15/03/15,Inter,Cesena,20,9,4,1,1,1,33,14,1,0,D
15/03/15,Sassuolo,Parma,15,8,7,3,4,1,25,12,-3,-3,H
15/03/15,Verona,Napoli,12,16,5,7,2,0,29,46,1,-2,H
16/03/15,Fiorentina,Milan,18,6,5,2,2,1,44,29,2,0,H
16/03/15,Roma,Sampdoria,17,8,9,2,0,2,48,40,-1,2,A
16/03/15,Torino,Lazio,9,16,2,6,0,2,33,55,-1,5,A
21/03/15,Chievo,Palermo,14,19,5,4,1,0,28,28,1,-3,H
21/03/15,Milan,Cagliari,14,11,7,1,3,1,32,14,1,-4,H
22/03/15,Cesena,Roma,7,15,1,4,0,1,14,50,-1,0,A
22/03/15,Empoli,Sassuolo,14,10,6,1,3,1,21,25,2,-3,H
22/03/15,Juventus,Genoa,13,9,4,1,1,0,71,33,4,-1,H
22/03/15,Lazio,Verona,21,2,6,0,2,0,57,28,5,1,H
22/03/15,Napoli,Atalanta,20,9,9,3,1,1,44,17,-1,-2,D
22/03/15,Parma,Torino,16,15,1,5,0,2,11,35,-3,0,A
22/03/15,Sampdoria,Inter,10,12,2,2,1,0,42,32,4,-1,H
22/03/15,Udinese,Fiorentina,11,13,5,5,2,2,29,42,-1,1,D
04/04/15,Atalanta,Torino,12,11,4,7,1,2,17,37,-2,1,A
04/04/15,Cagliari,Lazio,10,14,3,10,1,3,13,58,-4,5,A
04/04/15,Fiorentina,Sampdoria,20,9,5,0,2,0,44,41,2,3,H
04/04/15,Genoa,Udinese,13,14,5,6,1,1,32,28,-2,0,D
04/04/15,Inter,Parma,18,13,6,2,1,1,31,11,-2,-2,D
04/04/15,Juventus,Empoli,16,12,7,4,2,0,72,20,4,0,H
04/04/15,Palermo,Milan,16,13,3,5,1,2,27,34,-3,1,A
04/04/15,Roma,Napoli,7,13,2,5,1,0,51,42,1,-3,H
04/04/15,Sassuolo,Chievo,7,14,2,3,1,0,27,27,-1,1,H
04/04/15,Verona,Cesena,15,20,5,8,3,3,27,13,1,0,D
08/04/15,Parma,Udinese,17,7,7,0,1,0,14,27,-1,0,H
11/04/15,Genoa,Cagliari,19,14,6,6,2,0,34,13,-1,-4,H
11/04/15,Parma,Juventus,9,19,1,3,1,0,17,70,0,3,H
11/04/15,Verona,Inter,18,12,5,2,0,3,26,33,-1,0,A
12/04/15,Atalanta,Sassuolo,11,7,5,2,2,1,20,26,0,-1,H
12/04/15,Cesena,Chievo,16,16,1,5,0,1,13,30,-2,2,A
12/04/15,Lazio,Empoli,9,12,6,5,4,0,60,20,5,-1,H
12/04/15,Milan,Sampdoria,26,11,6,3,1,1,33,40,1,2,D
12/04/15,Napoli,Fiorentina,11,6,6,0,3,0,44,43,-1,0,H
12/04/15,Torino,Roma,14,22,2,6,1,1,36,50,0,1,D
12/04/15,Udinese,Palermo,11,11,1,5,1,3,26,30,-2,-2,A
15/04/15,Genoa,Parma,15,9,4,3,2,0,36,16,0,0,H
18/04/15,Juventus,Lazio,8,17,4,4,2,0,71,58,3,3,H
18/04/15,Sampdoria,Cesena,18,5,3,3,0,0,38,12,1,-2,D
19/04/15,Cagliari,Napoli,7,14,3,5,0,3,12,46,-4,0,A
19/04/15,Chievo,Udinese,15,8,7,1,1,1,29,25,2,-2,D
19/04/15,Empoli,Parma,12,15,5,5,2,2,19,16,-1,1,D
19/04/15,Inter,Milan,17,7,3,3,0,0,32,32,0,1,D
19/04/15,Palermo,Genoa,14,10,7,1,2,1,32,35,-1,0,H
19/04/15,Roma,Atalanta,17,5,7,3,1,1,48,19,1,0,D
19/04/15,Sassuolo,Torino,9,21,1,8,1,1,25,35,0,1,D
20/04/15,Fiorentina,Verona,21,12,3,4,0,1,41,29,0,0,A
25/04/15,Inter,Roma,11,11,3,4,2,1,34,46,1,1,H
25/04/15,Udinese,Milan,20,6,5,1,2,1,28,31,-1,1,H
26/04/15,Atalanta,Empoli,16,21,5,10,2,2,18,18,0,-1,D
26/04/15,Fiorentina,Cagliari,19,15,2,7,1,3,40,15,-2,-3,A
26/04/15,Genoa,Cesena,19,13,5,4,3,1,37,12,2,-3,H
26/04/15,Lazio,Chievo,23,7,7,1,1,1,56,28,2,1,D
26/04/15,Napoli,Sampdoria,27,9,11,2,4,2,48,37,2,-1,H
26/04/15,Parma,Palermo,8,13,5,3,1,0,18,31,2,-1,H
26/04/15,Torino,Juventus,11,19,3,5,2,1,37,68,3,1,H
26/04/15,Verona,Sassuolo,15,18,9,7,3,2,31,25,0,-2,H
